code,country
582,MEXICOAirSea_andNotReported(I-94 nolandarrivals)
236,AFGHANISTAN
101,ALBANIA
316,ALGERIA
102,ANDORRA
324,ANGOLA
529,ANGUILLA
518,ANTIGUA-BARBUDA
687,ARGENTINA
151,ARMENIA
532,ARUBA
438,AUSTRALIA
103,AUSTRIA
152,AZERBAIJAN
512,BAHAMAS
298,BAHRAIN
274,BANGLADESH
513,BARBADOS
104,BELGIUM
581,BELIZE
386,BENIN
509,BERMUDA
153,BELARUS
242,BHUTAN
688,BOLIVIA
717,BONAIRE STEUSTATIUS SABA
164,BOSNIA-HERZEGOVINA
336,BOTSWANA
689,BRAZIL
525,BRITISHVIRGINISLANDS
217,BRUNEI
105,BULGARIA
393,BURKINAFASO
243,BURMA
375,BURUNDI
310,CAMEROON
326,CAPEVERDE
526,CAYMANISLANDS
383,CENTRALAFRICANREPUBLIC
384,CHAD
690,CHILE
245,CHINA PRC
721,CURACAO
270,CHRISTMASISLAND
271,COCOSISLANDS
691,COLOMBIA
317,COMOROS
385,CONGO
467,COOKISLANDS
575,COSTARICA
165,CROATIA
584,CUBA
218,CYPRUS
140,CZECHREPUBLIC
723,FAROEISLANDS(PARTOFDENMARK)
108,DENMARK
322,DJIBOUTI
519,DOMINICA
585,DOMINICANREPUBLIC
240,EASTTIMOR
692,ECUADOR
368,EGYPT
576,ELSALVADOR
399,EQUATORIALGUINEA
372,ERITREA
109,ESTONIA
369,ETHIOPIA
604,FALKLANDISLANDS
413,FIJI
110,FINLAND
111,FRANCE
601,FRENCHGUIANA
411,FRENCHPOLYNESIA
387,GABON
338,GAMBIA
758,GAZASTRIP
154,GEORGIA
112,GERMANY
339,GHANA
143,GIBRALTAR
113,GREECE
520,GRENADA
507,GUADELOUPE
577,GUATEMALA
382,GUINEA
327,GUINEA-BISSAU
603,GUYANA
586,HAITI
726,HEARDANDMCDONALDIS.
149,HOLYSEE/VATICAN
528,HONDURAS
206,HONGKONG
114,HUNGARY
115,ICELAND
213,INDIA
759,INDIANOCEANAREAS(FRENCH)
729,INDIANOCEANTERRITORY
204,INDONESIA
249,IRAN
250,IRAQ
116,IRELAND
251,ISRAEL
117,ITALY
388,IVORYCOAST
514,JAMAICA
209,JAPAN
253,JORDAN
201,KAMPUCHEA
155,KAZAKHSTAN
340,KENYA
414,KIRIBATI
732,KOSOVO
272,KUWAIT
156,KYRGYZSTAN
203,LAOS
118,LATVIA
255,LEBANON
335,LESOTHO
370,LIBERIA
381,LIBYA
119,LIECHTENSTEIN
120,LITHUANIA
121,LUXEMBOURG
214,MACAU
167,MACEDONIA
320,MADAGASCAR
345,MALAWI
273,MALAYSIA
220,MALDIVES
392,MALI
145,MALTA
472,MARSHALLISLANDS
511,MARTINIQUE
389,MAURITANIA
342,MAURITIUS
760,MAYOTTE(AFRICA-FRENCH)
473,MICRONESIA FED.STATESOF
157,MOLDOVA
122,MONACO
299,MONGOLIA
735,MONTENEGRO
521,MONTSERRAT
332,MOROCCO
329,MOZAMBIQUE
371,NAMIBIA
440,NAURU
257,NEPAL
123,NETHERLANDS
508,NETHERLANDSANTILLES
409,NEWCALEDONIA
464,NEWZEALAND
579,NICARAGUA
390,NIGER
343,NIGERIA
470,NIUE
275,NORTHKOREA
124,NORWAY
256,OMAN
258,PAKISTAN
474,PALAU
743,PALESTINE
504,PANAMA
441,PAPUANEWGUINEA
693,PARAGUAY
694,PERU
260,PHILIPPINES
416,PITCAIRNISLANDS
107,POLAND
126,PORTUGAL
297,QATAR
748,REPUBLICOFSOUTHSUDAN
321,REUNION
127,ROMANIA
158,RUSSIA
376,RWANDA
128,SANMARINO
330,SAOTOMEANDPRINCIPE
261,SAUDIARABIA
391,SENEGAL
142,SERBIAANDMONTENEGRO
745,SERBIA
347,SEYCHELLES
348,SIERRALEONE
207,SINGAPORE
141,SLOVAKIA
166,SLOVENIA
412,SOLOMONISLANDS
397,SOMALIA
373,SOUTHAFRICA
276,SOUTHKOREA
129,SPAIN
244,SRILANKA
346,ST.HELENA
522,ST.KITTS-NEVIS
523,ST.LUCIA
502,ST.PIERREANDMIQUELON
524,ST.VINCENT-GRENADINES
716,SAINTBARTHELEMY
736,SAINTMARTIN
749,SAINTMAARTEN
350,SUDAN
602,SURINAME
351,SWAZILAND
130,SWEDEN
131,SWITZERLAND
262,SYRIA
268,TAIWAN
159,TAJIKISTAN
353,TANZANIA
263,THAILAND
304,TOGO
417,TONGA
516,TRINIDADANDTOBAGO
323,TUNISIA
264,TURKEY
161,TURKMENISTAN
527,TURKSANDCAICOSISLANDS
420,TUVALU
352,UGANDA
162,UKRAINE
296,UNITEDARABEMIRATES
135,UNITEDKINGDOM
695,URUGUAY
163,UZBEKISTAN
410,VANUATU
696,VENEZUELA
266,VIETNAM
469,WALLISANDFUTUNAISLANDS
757,WESTINDIES(FRENCH)
333,WESTERNSAHARA
465,WESTERNSAMOA
216,YEMEN
139,YUGOSLAVIA
301,ZAIRE
344,ZAMBIA
315,ZIMBABWE
403,INVALID:AMERICANSAMOA
712,INVALID:ANTARCTICA
700,INVALID:BORNONBOARDSHIP
719,INVALID:BOUVETISLAND(ANTARCTICA/NORWAYTERR.)
574,INVALID:CANADA
720,INVALID:CANTONANDENDERBURYISLS
106,INVALID:CZECHOSLOVAKIA
739,INVALID:DRONNINGMAUDLAND(ANTARCTICA-NORWAY)
394,INVALID:FRENCHSOUTHERNANDANTARCTIC
501,INVALID:GREENLAND
404,INVALID:GUAM
730,INVALID:INTERNATIONALWATERS
731,INVALID:JOHNSONISLAND
471,INVALID:MARIANAISLANDS NORTHERN
737,INVALID:MIDWAYISLANDS
753,INVALID:MINOROUTLYINGISLANDS-USA
740,INVALID:NEUTRALZONE(S.ARABIA/IRAQ)
710,INVALID:NON-QUOTAIMMIGRANT
505,INVALID:PUERTORICO
0,INVALID:STATELESS
705,INVALID:STATELESS
583,INVALID:UNITEDSTATES
407,INVALID:UNITEDSTATES
999,INVALID:UNKNOWN
239,INVALID:UNKNOWNCOUNTRY
134,INVALID:USSR
506,INVALID:U.S.VIRGINISLANDS
755,INVALID:WAKEISLAND
311,CollapsedTanzania(shouldnotshow)
741,CollapsedCuracao(shouldnotshow)
54,NoCountryCode(54)
100,NoCountryCode(100)
187,NoCountryCode(187)
190,NoCountryCode(190)
200,NoCountryCode(200)
219,NoCountryCode(219)
238,NoCountryCode(238)
277,NoCountryCode(277)
293,NoCountryCode(293)
300,NoCountryCode(300)
319,NoCountryCode(319)
365,NoCountryCode(365)
395,NoCountryCode(395)
400,NoCountryCode(400)
485,NoCountryCode(485)
503,NoCountryCode(503)
589,NoCountryCode(589)
592,NoCountryCode(592)
791,NoCountryCode(791)
849,NoCountryCode(849)
914,NoCountryCode(914)
944,NoCountryCode(944)
996,NoCountryCode(996)